text_content,language,attempt,event_type,result,similarity,comment
accept,en,1,regenerate,SUCCESS,,Audio regenerated (9600 bytes)
accept,en,2,verify,FAIL,66.67%,[major] Low similarity: 66.67% | Expected: 'accept' | Got: 'except'
accept,en,2,regenerate,SUCCESS,,Audio regenerated (10080 bytes)
accept,en,3,verify,FAIL,66.67%,[major] Low similarity: 66.67% | Expected: 'accept' | Got: 'Except.'
The park has ample parking spaces for visitors.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The park has ample parking spaces for visitors.'
The restaurant served ample portions of food.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The restaurant served ample portions of food.'
The city has ample cultural attractions to explore.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the city has ample cultural attractions to explore.'
"The hotel offered ample amenities, including a pool and gym.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The hotel offered ample amenities, including a pool and gym.'"
The company has ample funds to invest in new projects.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company has ample funds to invest in new projects.'
The ample supply of food lasted throughout the winter.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The ample supply of food lasted throughout the winter.'
The city has ample public transportation options.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the city has ample public transportation options.'
The restaurant had ample seating for large groups.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The restaurant had ample seating for large groups.'
The new policy provides ample opportunities for growth.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The new policy provides ample opportunities for growth.'
The park was ample and offered plenty of space for picnics.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The park was ample and offered plenty of space for picnics.'
The company had ample resources to complete the project.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company had ample resources to complete the project.'
The hotel room was ample and comfortable.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The hotel room was ample and comfortable.'
ample,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Ample'
abate,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abate.'
abandon,en,1,verify,PASS,87.50%,Similarity: 87.50% | Transcribed: 'Abandoned.'
accelerate,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Accelerate.'
academic,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Academic'
abundant,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abundant.'
Stop being so silly and focus on your work.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Stop being so silly and focus on your work.'
The comedy show was full of silly jokes and pranks.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The comedy show was full of silly jokes and pranks.'
abolish,en,1,verify,FAIL,76.92%,[major] Low similarity: 76.92% | Expected: 'abolish' | Got: 'Polish.'
abolish,en,1,regenerate,SUCCESS,,Audio regenerated (11040 bytes)
abolish,en,2,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abolish.'
He did a silly dance on top of the table.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'He did a silly dance on top of the table.'
The idea of flying cars is still considered silly by many people.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the idea of flying cars is still considered silly by many people.'
She made a silly face at her brother.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'She made a silly face at her brother.'
The movie was so silly that I couldn't help but laugh.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The movie was so silly that I couldn't help but laugh.'
silly,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Silly.'
ability,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Ability'
abhor,en,1,verify,FAIL,66.67%,[major] Low similarity: 66.67% | Expected: 'abhor' | Got: 'Ebor'
abhor,en,1,regenerate,SUCCESS,,Audio regenerated (10560 bytes)
abhor,en,2,verify,FAIL,80.00%,[major] Low similarity: 80.00% | Expected: 'abhor' | Got: 'Ebhor'
abhor,en,2,regenerate,SUCCESS,,Audio regenerated (11040 bytes)
abhor,en,3,verify,FAIL,25.00%,[major] Low similarity: 25.00% | Expected: 'abhor' | Got: 'You'
abstract,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abstract'
Can you abbreviate this paragraph for the summary?,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Can you abbreviate this paragraph for the summary?'
The software allows you to abbreviate frequently used phrases.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The software allows you to abbreviate frequently used phrases.'
The abbreviation 'Dr.' is often used to abbreviate 'doctor'.,en,1,verify,PASS,93.10%,Similarity: 93.10% | Transcribed: 'The abbreviation doctor is often used to abbreviate doctor.'
"In texting, people often abbreviate words to save time.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'In texting, people often abbreviate words to save time.'"
The professor asked the students to abbreviate their essays.,en,1,verify,PASS,97.44%,Similarity: 97.44% | Transcribed: 'The professor asks the students to abbreviate their essays.'
The company will abbreviate its name to ABC Inc.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company will abbreviate its name to ABC Inc.'
The aberration in the machine's performance indicated a need for maintenance.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The aberration in the machine's performance indicated a need for maintenance.'
The psychologist studied the aberration in human behavior.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The psychologist studied the aberration in human behavior.'
The aberration in the data set indicated a possible error.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The aberration in the data set indicated a possible error.'
The genetic aberration was linked to the patient's rare disease.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The genetic aberration was linked to the patient's rare disease.'
The employee's behavior was considered an aberration from the company's code of conduct.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The employee's behavior was considered an aberration from the company's code of conduct.'
The increase in crime rates was seen as an aberration in the city's otherwise low crime rate.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The increase in crime rates was seen as an aberration in the city's otherwise low crime rate.'
The team's performance was an aberration from their usual standards.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The team's performance was an aberration from their usual standards.'
The doctor considered the patient's symptoms to be an aberration from the norm.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The doctor considered the patient's symptoms to be an aberration from the norm.'
The aberration in the telescope's lens affected the image quality.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The aberration in the telescope's lens affected the image quality.'
The scientist studied the aberration in the crystal structure.,en,1,verify,PASS,99.19%,Similarity: 99.19% | Transcribed: 'The scientists studied the aberration in the crystal structure.'
The company's financial reports revealed an aberration in their spending habits.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company's financial reports revealed an aberration in their spending habits.'
The strange weather pattern was an aberration from the usual sunny days.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The strange weather pattern was an aberration from the usual sunny days.'
The athlete's physical strength was an advantage in the sport.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the athlete's physical strength was an advantage in the sport.'
The new policy gives small businesses a tax advantage.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The new policy gives small businesses a tax advantage.'
She used her connections to her advantage when looking for a new job.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'She used her connections to her advantage when looking for a new job.'
The team's experience was an advantage in the competition.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The team's experience was an advantage in the competition.'
Having a good education can give you an advantage in the job market.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Having a good education can give you an advantage in the job market.'
The company took advantage of the new market trend to increase its sales.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The company took advantage of the new market trend to increase its sales.'
advantage,en,1,verify,PASS,87.50%,Similarity: 87.50% | Transcribed: 'Vantage.'
abbreviate,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abbreviate.'
abdicate,en,1,verify,FAIL,,[major] Low similarity: 0.00% | Expected: 'abdicate' | Got: 'You'
abdicate,en,1,regenerate,SUCCESS,,Audio regenerated (11040 bytes)
abdicate,en,2,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Abdicate.'
appeal,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Appeal'
apparent,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Apparent.'
anxiety,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Anxiety'
annual,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'annual.'
ambitious,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Ambitious.'
ambiguous,en,1,verify,FAIL,33.33%,[major] Low similarity: 33.33% | Expected: 'ambiguous' | Got: 'You'
ambiguous,en,1,regenerate,SUCCESS,,Audio regenerated (12000 bytes)
ambiguous,en,2,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'ambiguous.'
amateur,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Amateur'
alternative,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Alternative'
allow,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Allow.'
allocate,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Allocate.'
aid,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Aid'
agriculture,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Agriculture'
The students admired their teacher's patience and kindness.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The students admired their teacher's patience and kindness.'
The tourists admired the ancient architecture of the city.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'the tourists admired the ancient architecture of the city.'
She admired the stunning view from the top of the mountain.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'She admired the stunning view from the top of the mountain.'
He has always admired his grandfather's wisdom.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'He has always admired his grandfather's wisdom.'
The crowd admired the beautiful painting.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The crowd admired the beautiful painting.'
I admire her dedication to her work.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'I admire her dedication to her work.'
admire,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Admire.'
aberration,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Aberration'
The comedian's unforgettable jokes had the audience laughing out loud throughout the show.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The comedian's unforgettable jokes had the audience laughing out loud throughout the show.'
"The trip to Paris was unforgettable, with its stunning architecture and romantic atmosphere.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The trip to Paris was unforgettable, with its stunning architecture and romantic atmosphere.'"
"The concert was unforgettable, with the band performing all their hit songs.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The concert was unforgettable, with the band performing all their hit songs.'"
The Grand Canyon is an unforgettable natural wonder that attracts millions of visitors each year.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'The Grand Canyon is an unforgettable natural wonder that attracts millions of visitors each year.'
Her unforgettable smile brightened up the entire room.,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Her unforgettable smile brightened up the entire room.'
"The fireworks display was unforgettable, with its vibrant colors and synchronized music.",en,1,verify,PASS,100.00%,"Similarity: 100.00% | Transcribed: 'The fireworks display was unforgettable, with its vibrant colors and synchronized music.'"
unforgettable,en,1,verify,PASS,100.00%,Similarity: 100.00% | Transcribed: 'Unforgettable.'
