word,question_type,attempt,event_type,result,comment,question_data
approximate,fill_blank,4,verify,PASS,,"{""sentence"": ""The scientist provided an _____ estimate of the project's completion time, relying on preliminary data."", ""question_text"": ""Fill in the blank:"", ""options"": [{""id"": ""A"", ""text"": ""approximate""}, {""id"": ""B"", ""text"": ""exact""}, {""id"": ""C"", ""text"": ""final""}, {""id"": ""D"", ""text"": ""certain""}], ""correct_answer"": ""A"", ""question_type"": ""fill_blank"", ""word"": ""approximate""}"
approximate,mc_definition,1,verify,PASS,,"{""word"": ""approximate"", ""options"": [{""id"": ""A"", ""text"": ""close to the actual value, but not precisely known""}, {""id"": ""B"", ""text"": ""exactly known or measured""}, {""id"": ""C"", ""text"": ""far from the actual value""}, {""id"": ""D"", ""text"": ""completely unknown""}], ""question_text"": ""What does 'approximate' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
approve,mc_word,1,verify,PASS,,"{""word"": ""approve"", ""options"": [{""id"": ""A"", ""text"": ""approve""}, {""id"": ""B"", ""text"": ""disagree""}, {""id"": ""C"", ""text"": ""refuse""}, {""id"": ""D"", ""text"": ""endorse""}], ""question_text"": ""Which word matches this definition: 'to agree with or consent to something'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
appropriate,mc_definition,1,verify,PASS,,"{""word"": ""appropriate"", ""options"": [{""id"": ""A"", ""text"": ""Suitable or proper in the circumstances""}, {""id"": ""B"", ""text"": ""Completely necessary or required""}, {""id"": ""C"", ""text"": ""To assign or allocate something for a specific use""}, {""id"": ""D"", ""text"": ""Extremely good or of very high quality""}], ""question_text"": ""What does 'appropriate' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
appropriate,mc_word,1,verify,PASS,,"{""word"": ""appropriate"", ""options"": [{""id"": ""A"", ""text"": ""appropriate""}, {""id"": ""B"", ""text"": ""excessive""}, {""id"": ""C"", ""text"": ""relevant""}, {""id"": ""D"", ""text"": ""inadequate""}], ""question_text"": ""Which word matches this definition: 'suitable or proper in the circumstances'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
approach,mc_definition,1,verify,PASS,,"{""word"": ""approach"", ""options"": [{""id"": ""A"", ""text"": ""A way of dealing with something or coming near to it""}, {""id"": ""B"", ""text"": ""A type of departure or exit strategy""}, {""id"": ""C"", ""text"": ""An exact or precise method of analysis""}, {""id"": ""D"", ""text"": ""A distant or remote way of observing something""}], ""question_text"": ""What does 'approach' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
appeal,mc_definition,1,verify,PASS,,"{""word"": ""appeal"", ""options"": [{""id"": ""A"", ""text"": ""A serious request for help, support, or sympathy, or the quality that makes something attractive.""}, {""id"": ""B"", ""text"": ""A casual suggestion or informal request.""}, {""id"": ""C"", ""text"": ""The act of criticizing or condemning someone or something.""}, {""id"": ""D"", ""text"": ""A formal complaint or a dispute between parties.""}], ""question_text"": ""What does 'appeal' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
apparent,mc_definition,1,verify,PASS,,"{""word"": ""apparent"", ""options"": [{""id"": ""A"", ""text"": ""clear or obvious, but not necessarily certain or proven""}, {""id"": ""B"", ""text"": ""hidden or difficult to notice""}, {""id"": ""C"", ""text"": ""completely certain or proven""}, {""id"": ""D"", ""text"": ""unlikely or improbable""}], ""question_text"": ""What does 'apparent' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
anxiety,mc_definition,1,verify,PASS,,"{""word"": ""anxiety"", ""options"": [{""id"": ""A"", ""text"": ""A feeling of worry or nervousness about something that may happen""}, {""id"": ""B"", ""text"": ""A state of calmness and relaxation""}, {""id"": ""C"", ""text"": ""A type of physical illness or disease""}, {""id"": ""D"", ""text"": ""A feeling of excitement or enthusiasm""}], ""question_text"": ""What does 'anxiety' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
allow,mc_word,1,verify,PASS,,"{""word"": ""allow"", ""options"": [{""id"": ""A"", ""text"": ""allow""}, {""id"": ""B"", ""text"": ""refuse""}, {""id"": ""C"", ""text"": ""permit""}, {""id"": ""D"", ""text"": ""deny""}], ""question_text"": ""Which word matches this definition: 'to give permission or let someone do something'?"", ""question_type"": ""mc_word"", ""correct_answer"": ""A""}"
annual,fill_blank,1,verify,PASS,,"{""word"": ""annual"", ""options"": [{""id"": ""A"", ""text"": ""annual""}, {""id"": ""B"", ""text"": ""occasional""}, {""id"": ""C"", ""text"": ""daily""}, {""id"": ""D"", ""text"": ""biweekly""}], ""sentence"": ""The company publishes an ____ report that summarizes its financial performance."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""L'entreprise publie un rapport ____ qui résume sa performance financière.""}"
annual,mc_definition,1,verify,PASS,,"{""word"": ""annual"", ""options"": [{""id"": ""A"", ""text"": ""Occurring or done once a year""}, {""id"": ""B"", ""text"": ""Happening every other year""}, {""id"": ""C"", ""text"": ""A type of plant that lives for several years""}, {""id"": ""D"", ""text"": ""A recurring event that happens every few years""}], ""question_text"": ""What does 'annual' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
ambitious,fill_blank,1,verify,PASS,,"{""word"": ""ambitious"", ""options"": [{""id"": ""A"", ""text"": ""ambitious""}, {""id"": ""B"", ""text"": ""leisurely""}, {""id"": ""C"", ""text"": ""apathetic""}, {""id"": ""D"", ""text"": ""meek""}], ""sentence"": ""The company's ____ goals for expansion have raised concerns among investors."", ""question_text"": ""Fill in the blank:"", ""question_type"": ""fill_blank"", ""correct_answer"": ""A"", ""sentence_translation"": ""Les objectifs ____ de l'entreprise pour l'expansion ont suscité des inquiétudes parmi les investisseurs.""}"
ambitious,mc_definition,1,verify,PASS,,"{""word"": ""ambitious"", ""options"": [{""id"": ""A"", ""text"": ""Having a strong desire to succeed or achieve something""}, {""id"": ""B"", ""text"": ""Being satisfied with one's current situation""}, {""id"": ""C"", ""text"": ""Having a strong sense of responsibility towards others""}, {""id"": ""D"", ""text"": ""Being very cautious and risk-averse in one's endeavors""}], ""question_text"": ""What does 'ambitious' mean?"", ""question_type"": ""mc_definition"", ""correct_answer"": ""A""}"
